year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1839,12,-287,1
1988,1680,9,-569,2
1989,1918,13,-425,0
1990,1865,11,-322,1
1991,1881,10,-400,1
1992,1903,10,-236,1
1993,1759,10,-465,0
1994,1623,10,-347,1
1995,1662,8,-475,9
1996,1686,11,-450,0
1997,1740,11,-330,1
1998,1761,10,-313,2
1999,1494,11,-361,1
2000,1802,13,-433,2
2001,1376,8,-302,5
2002,1824,9,-240,2
2003,1809,10,-502,3
2004,1701,12,-344,2
2005,1701,12,-317,0
2006,2035,12,-436,0
2007,1746,11,-403,2
2008,1620,11,-102,5
2009,1405,9,-215,9
2010,1771,10,-351,0
2011,1737,11,-316,1
2012,1754,10,-284,3
2013,1497,9,-225,0
2014,1765,10,-456,3
2015,2004,13,-319,0
2016,1741,12,-340,0
2016
2017,1877,11,-342,1
2018,2589,13,-685,0
2019,2029,13,-360,0
2020,2066,13,-534,1
2021,2042,12,-486,3
2022,2015,14,-202,0
2023,2165,11,-446,4
2024,1923,13,-457,1
2025,2221,12,-358,2
2026,2101,13,-476,1
2027,2217,13,-544,9
2028,1931,12,-463,2
2029,1824,12,-453,2
2030,1994,12,-534,4
2031,1918,10,-520,2
2032,2119,12,-287,0
2033,1966,12,-449,0
2034,2112,15,-322,0
2035,1945,11,-440,1
2036,2054,12,-585,0
2037,1976,12,-212,0
2038,2205,13,-538,3
2039,2085,13,-498,1
2040,1852,14,-385,6
2041,1974,13,-297,5
2042,2095,12,-375,1
2043,2418,14,-575,0
2044,1940,10,-379,0
2045,2059,11,-462,5
2046,1867,10,-301,0

min,1200,6,,0
max,2700,18,,10
steps,11,8,,11
decimal



