year,A1,A2,A3
,label A1,label A2,label A3
1987,39,2474,265
1988,29,2686,222
1989,20,2514,190
1990,38,2490,244
1991,37,2567,290
1992,37,2557,262
1993,27,2417,202
1994,15,2812,166
1995,36,2791,242
1996,4,2537,102
1997,26,2669,221
1998,41,2805,275
1999,11,2831,129
2000,30,2673,272
2001,27,2744,142
2002,35,2572,231
2003,42,2620,274
2004,26,2678,182
2005,12,2673,103
2006,47,2623,317
2007,21,2801,177
2008,33,2762,215
2009,21,2708,168
2010,34,2637,253
2011,29,2539,197
2012,27,2569,202
2013,20,2624,130
2014,30,2566,245
2015,29,2424,250
2016,18,2545,144
2016
2017,42,2428,281
2018,90,2271,707
2019,56,2354,352
2020,36,2033,302
2021,57,2576,425
2022,37,2152,259
2023,75,2260,536
2024,42,2546,338
2025,82,2247,463
2026,55,2248,395
2027,56,2511,469
2028,47,2530,357
2029,27,2354,225
2030,47,2445,375
2031,50,2370,356
2032,57,2295,392
2033,37,2446,311
2034,62,2348,398
2035,48,2180,309
2036,46,2280,310
2037,51,2211,322
2038,60,2350,460
2039,60,2075,366
2040,47,2181,332
2041,48,2412,352
2042,65,2447,424
2043,87,2432,573
2044,50,2394,317
2045,68,2582,441
2046,50,2568,324

min,,1900
max,,3050
steps,,10
decimal



