year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,38,-137,-238,-22
1988,149,139,-233,-50
1989,55,-195,-297,-50
1990,-9,-147,-316,102
1991,38,-104,-247,41
1992,-18,70,-247,175
1993,-105,27,-70,115
1994,-9,-80,-248,0
1995,39,-228,-266,-1
1996,37,-199,-215,139
1997,-40,-175,-244,-19
1998,-75,-208,-296,57
1999,3,-152,-321,57
2000,-58,-99,-281,71
2001,71,-106,-209,-67
2002,-18,-80,-159,113
2003,12,-329,-402,84
2004,99,-142,-327,85
2005,-99,-244,-225,-17
2006,46,-292,-295,-37
2007,4,-117,-323,-32
2008,-19,-139,-301,100
2009,5,-112,-351,35
2010,-16,-92,-347,41
2011,-31,-282,-262,-41
2012,-93,-203,-369,5
2013,144,-65,-313,61
2014,83,-158,-199,-9
2015,32,-267,-242,-44
2016,98,-149,-337,-3
