year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,28,1,-94,7,5,-335,48,3,30
1988,22,0,-85,7,13,-353,61,4,22
1989,30,0,-52,7,3,-304,43,5,51
1990,22,1,-137,7,9,-367,43,8,28
1991,16,0,-80,6,0,-322,51,7,16
1992,30,1,-32,6,5,-281,37,4,52
1993,27,0,-170,4,9,-440,48,8,96
1994,25,0,-194,6,11,-426,44,6,62
1995,26,0,-128,5,5,-385,38,4,57
1996,17,0,-125,7,13,-432,51,2,39
1997,25,0,-201,6,6,-454,40,1,81
1998,16,0,-119,7,1,-356,44,8,31
1999,26,1,-204,8,0,-448,49,5,77
2000,22,0,-156,8,7,-426,60,1,60
2001,35,0,-195,6,7,-393,37,9,57
2002,25,0,-133,7,4,-356,39,8,31
2003,31,0,-150,8,7,-377,30,16,75
2004,30,2,-104,7,5,-380,49,5,48
2005,26,1,-132,9,15,-385,51,7,62
2006,35,2,-129,7,8,-355,43,6,20
2007,33,4,-76,8,17,-323,47,3,41
2008,33,0,-112,6,12,-375,30,16,8
2009,22,0,-146,5,3,-371,49,2,61
2010,27,0,-146,7,6,-343,44,4,64
2011,23,0,-118,9,1,-290,39,6,47
2012,20,0,-45,6,11,-274,55,2,42
2013,30,1,-200,9,3,-436,41,3,82
2014,21,0,-145,9,27,-455,54,1,43
2015,24,0,-94,4,11,-309,51,6,70
2016,37,0,-173,9,21,-466,39,1,11
2016
2017,53,0,-232,10,9,-524,33,5,29
2018,50,0,-193,8,28,-466,25,0,24
2019,51,0,-202,8,18,-407,22,2,68
2020,36,0,-136,8,25,-442,48,1,42
2021,34,0,-205,7,24,-504,42,4,37
2022,27,0,-158,10,17,-441,45,9,31
2023,42,0,-256,8,18,-598,46,0,30
2024,36,0,-134,8,30,-390,38,4,79
2025,34,0,-107,8,11,-394,48,1,60
2026,41,0,-169,6,10,-447,32,0,70
2027,52,0,-243,6,8,-532,25,3,103
2028,31,0,-144,8,21,-423,51,1,29
2029,39,0,-234,0,12,-507,37,0,46
2030,34,0,-217,0,29,-529,48,1,72
2031,35,0,-166,0,7,-373,32,3,86
2032,55,0,-269,0,21,-545,27,5,93
2033,30,0,-200,0,12,-472,43,2,47
2034,40,0,-149,0,10,-440,32,3,77
2035,31,0,-66,0,8,-353,42,4,58
2036,8,0,-119,0,20,-377,49,0,98
2037,39,0,-121,0,5,-374,31,4,41
2038,40,0,-165,0,27,-428,34,4,43
2039,47,0,-197,0,25,-493,33,4,43
2040,56,0,-148,0,31,-441,34,1,37
2041,49,0,-243,0,12,-524,33,8,14
2042,32,0,-193,0,10,-408,33,2,64
2043,35,0,-204,0,22,-504,40,0,15
2044,45,0,-200,0,30,-502,35,0,67
2045,37,2,-194,0,11,-469,47,1,19
2046,26,0,-105,0,16,-321,50,5,61

min,,0
max,,6
steps,,7
decimal
