year,F1,F3,M4
,label F1,label F3,label M4
1987,33,120,4
1988,40,112,5
1989,38,109,4
1990,31,112,4
1991,40,108,3
1992,42,123,3
1993,33,108,4
1994,34,116,3
1995,39,101,4
1996,23,120,4
1997,36,107,4
1998,27,114,6
1999,22,106,3
2000,34,108,5
2001,27,120,4
2002,37,111,4
2003,28,112,4
2004,36,122,5
2005,28,105,5
2006,36,119,4
2007,23,120,5
2008,25,109,4
2009,42,109,6
2010,31,116,3
2011,34,105,4
2012,34,116,3
2013,39,115,6
2014,27,117,8
2015,38,116,2
2016,47,109,5
2016
2017,27,107,8
2018,24,105,7
2019,25,99,2
2020,31,118,6
2021,17,118,5
2022,20,104,7
2023,20,102,7
2024,20,109,4
2025,30,100,7
2026,31,103,3
2027,15,99,6
2028,40,117,6
2029,27,109,1
2030,28,118,0
2031,29,111,0
2032,38,108,0
2033,37,107,0
2034,51,109,0
2035,30,111,0
2036,22,107,0
2037,20,100,0
2038,21,107,0
2039,28,114,0
2040,31,106,0
2041,29,112,0
2042,24,108,0
2043,38,108,0
2044,34,104,0
2045,24,120,0
2046,27,106,0

min,,70
max,,140
steps,,11
decimal


