year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.8,10.9,16.7,5.0
1988,2.2,12.4,16.1,4.6
1989,3.6,11.7,16.3,4.4
1990,4.1,11.8,16.1,4.7
1991,1.6,10.3,17.8,3.1
1992,1.6,12.5,17.9,3.8
1993,1.7,13.9,15.7,4.0
1994,3.7,12.4,17.9,6.2
1995,1.5,11.1,16.2,4.4
1996,-1.2,11.9,14.2,3.0
1997,2.1,11.2,16.6,4.2
1998,2.9,12.7,16.0,3.7
1999,1.7,12.2,17.1,3.8
2000,2.3,13.5,15.9,6.6
2001,2.9,11.6,15.8,4.4
2002,3.5,12.8,15.5,6.2
2003,0.7,14.3,17.7,4.0
2004,1.0,11.6,16.8,4.6
2005,0.4,13.1,16.4,4.0
2006,-1.2,12.7,17.7,7.1
2007,4.4,14.5,15.8,3.3
2008,3.2,13.0,15.9,4.4
2009,-0.2,13.7,17.4,5.1
2010,0.0,11.7,16.2,3.4
2011,2.3,13.7,16.9,5.3
2012,0.8,13.1,17.0,4.9
2013,-0.2,11.6,17.0,5.4
2014,4.2,12.9,16.1,6.7
2015,1.2,12.8,17.6,6.8
2016,2.8,12.3,17.5,4.5
