year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,75,137,0
1988,101,155,0
1989,94,146,0
1990,59,141,0
1991,88,145,0
1992,83,147,0
1993,73,149,0
1994,9,159,0
1995,79,154,0
1996,97,149,0
1997,81,152,1
1998,99,145,0
1999,81,147,0
2000,96,146,0
2001,101,155,0
2002,86,140,0
2003,85,151,0
2004,70,136,0
2005,85,144,1
2006,83,141,0
2007,104,164,0
2008,104,157,0
2009,88,144,0
2010,92,143,0
2011,95,150,0
2012,99,159,0
2013,101,155,0
2014,96,148,0
2015,94,143,0
2016,88,145,0
2016
2017,77,133,0
2018,89,164,0
2019,66,137,0
2020,74,133,0
2021,83,146,0
2022,75,135,0
2023,63,148,0
2024,63,145,0
2025,92,140,0
2026,78,137,0
2027,63,132,0
2028,95,151,0
2029,67,147,0
2030,78,143,0
2031,82,143,0
2032,76,149,0
2033,87,138,0
2034,74,144,0
2035,96,146,0
2036,82,146,0
2037,80,136,0
2038,106,161,0
2039,68,154,1
2040,88,145,1
2041,87,154,0
2042,59,140,0
2043,94,145,0
2044,88,150,0
2045,78,141,0
2046,55,139,0
