year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1233,8,251,11
1988,1133,8,108,10
1989,1112,9,280,1
1990,1178,10,205,5
1991,1246,10,72,1
1992,1099,9,222,13
1993,1182,11,102,11
1994,979,8,270,8
1995,797,5,299,14
1996,1413,10,193,1
1997,1301,10,142,12
1998,1082,7,66,3
1999,1064,9,125,7
2000,1564,9,211,0
2001,934,8,-10,11
2002,1025,9,215,1
2003,1013,9,229,3
2004,1418,13,156,3
2005,1046,10,87,8
2006,1254,11,-10,1
2007,992,10,156,11
2008,1087,7,132,4
2009,1356,11,140,1
2010,1232,7,152,4
2011,886,9,292,7
2012,964,9,257,8
2013,1167,8,117,18
2014,1091,8,62,0
2015,1281,9,118,0
2016,1078,9,261,1
2016
2017,1349,9,57,3
2018,993,9,37,15
2019,1280,9,118,5
2020,1414,9,151,6
2021,1246,10,111,10
2022,1560,10,-12,7
2023,1239,9,-75,15
2024,1203,10,-17,2
2025,1248,10,114,1
2026,1348,12,106,0
2027,1566,9,30,0
2028,1452,11,143,6
2029,1181,8,78,14
2030,1343,10,-69,1
2031,1208,10,43,10
2032,1130,9,80,18
2033,1317,10,18,4
2034,1235,11,226,7
2035,1531,11,-8,7
2036,1357,8,148,5
2037,1699,13,-3,3
2038,1169,9,279,13
2039,1024,11,-29,6
2040,1469,11,98,1
2041,1046,8,2,7
2042,1329,12,146,6
2043,1327,11,-3,3
2044,1295,11,329,5
2045,1423,11,97,5
2046,1259,9,165,7

min,,4
max,,17
steps,,8
decimal
