year,F1,F3,M4
,label F1,label F3,label M4
1987,41,116,3
1988,48,114,3
1989,38,108,3
1990,42,118,5
1991,47,115,2
1992,25,121,3
1993,37,104,3
1994,21,128,3
1995,33,109,6
1996,36,116,5
1997,51,121,3
1998,25,103,4
1999,28,104,4
2000,48,111,3
2001,43,114,2
2002,38,107,4
2003,29,116,2
2004,43,108,1
2005,45,103,3
2006,44,127,3
2007,37,117,2
2008,52,112,2
2009,45,105,2
2010,29,105,2
2011,30,111,4
2012,22,117,3
2013,42,115,3
2014,32,111,4
2015,32,119,4
2016,48,108,3
2016
2017,41,120,6
2018,25,100,6
2019,20,112,0
2020,23,111,0
2021,23,108,0
2022,17,128,0
2023,35,103,0
2024,33,112,0
2025,33,98,0
2026,25,108,0
2027,50,115,0
2028,16,112,0
2029,25,108,0
2030,26,102,0
2031,38,115,0
2032,25,100,0
2033,22,107,0
2034,27,108,0
2035,27,113,0
2036,26,108,0
2037,33,100,0
2038,18,99,0
2039,37,118,0
2040,36,107,0
2041,33,110,0
2042,37,101,0
2043,28,111,0
2044,35,107,0
2045,30,108,0
2046,35,104,0

min,,70
max,,140
steps,,11
decimal


