year,annual-hydric-deficit
1987,-319
1988,12
1989,-455
1990,-333
1991,-243
1992,-17
1993,11
1994,-131
1995,-341
1996,-77
1997,-128
1998,-311
1999,-191
2000,-270
2001,-318
2002,-128
2003,-366
2004,-220
2005,-384
2006,-348
2007,-299
2008,-108
2009,-296
2010,-221
2011,-498
2012,-352
2013,-197
2014,-125
2015,-397
2016,-319
