year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,36,-128,-218,-8
1988,147,134,-224,-45
1989,59,-191,-278,-46
1990,-5,-142,-291,105
1991,40,-107,-225,48
1992,-24,59,-238,185
1993,-95,36,-51,121
1994,66,-58,-212,73
1995,77,-208,-244,35
1996,121,-143,-168,114
1997,-5,-133,-81,92
1998,-32,-131,-205,58
1999,5,-163,-83,50
2000,-21,-118,-256,126
2001,54,-156,-174,-42
2002,-32,-78,-144,126
2003,63,-220,-305,96
2004,114,-160,-273,99
2005,-32,-235,-162,45
2006,36,-218,-156,-10
2007,50,-68,-265,-16
2008,58,-83,-201,118
2009,37,-134,-281,82
2010,22,-100,-261,117
2011,2,-278,-235,13
2012,-49,-86,-297,80
2013,85,-80,-263,61
2014,78,-177,-31,5
2015,43,-185,-213,-41
2016,109,-101,-315,-11
