year,annual-frozen-days
1987,42
1988,38
1989,32
1990,35
1991,46
1992,25
1993,36
1994,17
1995,32
1996,29
1997,29
1998,36
1999,30
2000,31
2001,34
2002,11
2003,31
2004,41
2005,65
2006,47
2007,35
2008,28
2009,40
2010,61
2011,30
2012,39
2013,38
2014,7
2015,25
2016,4
