year,annual-estival-days
1987,65
1988,59
1989,96
1990,93
1991,82
1992,65
1993,50
1994,74
1995,80
1996,61
1997,92
1998,72
1999,90
2000,82
2001,77
2002,66
2003,108
2004,93
2005,91
2006,95
2007,71
2008,64
2009,98
2010,76
2011,99
2012,91
2013,78
2014,87
2015,82
2016,77

min,0
max,135
steps,10
decimal
