year,F1,F3,M4
,label F1,label F3,label M4
1987,45,145,2
1988,85,140,0
1989,76,132,3
1990,69,133,0
1991,54,139,3
1992,80,134,1
1993,68,137,1
1994,53,136,1
1995,71,137,1
1996,46,130,1
1997,77,145,0
1998,79,146,2
1999,63,136,1
2000,72,139,0
2001,58,133,3
2002,67,137,2
2003,83,148,1
2004,82,147,0
2005,86,141,2
2006,62,128,1
2007,67,139,0
2008,80,146,2
2009,51,138,0
2010,67,142,3
2011,69,135,0
2012,54,142,1
2013,63,150,3
2014,87,139,3
2015,68,126,0
2016,77,142,2
2016
2017,73,139,0
2018,32,131,3
2019,57,146,1
2020,56,143,1
2021,42,138,1
2022,63,141,4
2023,41,145,1
2024,69,143,2
2025,33,126,1
2026,34,141,0
2027,46,132,2
2028,30,150,4
2029,75,142,2
2030,44,140,0
2031,59,136,2
2032,58,134,1
2033,54,134,2
2034,28,139,1
2035,27,129,3
2036,39,129,3
2037,97,148,0
2038,72,140,2
2039,50,134,2
2040,44,135,1
2041,41,142,1
2042,53,140,3
2043,59,134,1
2044,58,128,2
2045,69,138,1
2046,48,134,0
