year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
,(mm),(mm),(mm),(mm)
1987,109,-52,59,177
1988,242,-147,94,137
1989,80,-109,-66,107
1990,129,-87,-42,156
1991,22,-36,-168,165
1992,85,-167,-71,183
1993,68,-74,192,284
1994,200,-30,38,189
1995,139,-131,-97,-5
1996,-4,-151,-73,121
1997,48,-23,-135,101
1998,57,28,-27,263
1999,102,-95,-121,113
2000,137,-122,1,40
2001,95,-59,-36,115
2002,103,-62,-27,206
2003,15,-181,-182,100
2004,120,-89,-85,102
2005,68,-148,-34,70
2006,48,-97,-104,100
2007,150,-117,-50,133
2008,147,-221,-8,76
2009,82,-150,-153,171
2010,71,-196,8,93
2011,20,-179,-45,104
2012,60,-118,-126,129
2013,49,-109,-121,103
2014,-4,-13,-67,81
2015,101,-173,-8,136
2016,132,-91,-173,49
