year,A1,A2,A3
,label A1,label A2,label A3
1987,9,2671,73
1988,18,2760,119
1989,15,2653,90
1990,15,2668,118
1991,18,2714,147
1992,7,2591,67
1993,5,2865,70
1994,17,2705,126
1995,5,2733,42
1996,3,2426,26
1997,1,2624,45
1998,7,2588,60
1999,9,2889,87
2000,6,2768,67
2001,12,3044,73
2002,14,2710,113
2003,18,2810,124
2004,12,2845,80
2005,7,2647,46
2006,0,2756,28
2007,7,2708,55
2008,18,2549,118
2009,10,2804,64
2010,4,2922,34
2011,2,2925,36
2012,11,2570,110
2013,14,2552,101
2014,20,2660,134
2015,23,2513,142
2016,16,2798,102
2016
2017,22,2491,168
2018,22,2291,174
2019,22,2724,167
2020,13,2615,119
2021,16,2327,131
2022,40,2573,249
2023,15,2485,148
2024,26,2693,194
2025,40,2453,233
2026,24,2521,197
2027,17,2305,126
2028,22,2464,148
2029,14,2600,119
2030,14,2537,127
2031,35,2488,229
2032,29,2296,187
2033,21,2406,149
2034,22,2551,141
2035,25,2225,158
2036,22,2375,147
2037,10,2364,107
2038,11,2665,93
2039,24,2464,166
2040,36,2245,223
2041,25,2541,169
2042,26,2333,181
2043,27,2309,183
2044,20,2158,139
2045,13,2305,95
2046,33,2258,189

min,,1600
max,,3200
steps,,9
decimal



