year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,69,-87,-5,107
1988,130,-120,-37,132
1989,20,-100,-193,31
1990,37,-95,-226,93
1991,29,-144,-196,81
1992,-26,-47,-161,103
1993,-5,-149,-124,190
1994,51,-171,-115,24
1995,111,-110,-149,7
1996,6,-198,-154,125
1997,0,-64,-159,126
1998,-12,-67,-153,91
1999,36,-176,-138,169
2000,66,-140,-26,126
2001,196,-113,-32,54
2002,64,-160,-141,104
2003,-28,-146,-226,51
2004,24,-174,-138,28
2005,3,-154,-137,-15
2006,41,-116,-44,31
2007,56,-160,-136,50
2008,79,-68,-135,53
2009,30,-70,-198,105
2010,20,-182,-67,79
2011,7,-214,-134,82
2012,-22,-28,-157,97
2013,-2,-53,-210,114
2014,26,-196,-100,121
2015,28,-248,-188,19
2016,77,-25,-157,19
