year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1385,11,-341,2
1988,1448,8,-244,3
1989,1420,8,-270,0
1990,1484,9,-263,4
1991,1578,11,-426,4
1992,1314,9,-176,4
1993,1355,8,-217,3
1994,1467,9,-385,6
1995,1331,10,-230,3
1996,1218,8,-411,1
1997,1304,9,-283,5
1998,1378,9,-176,1
1999,1466,9,-517,1
2000,1349,9,-275,5
2001,1316,9,-226,3
2002,1485,11,-200,5
2003,1621,11,-267,1
2004,1334,9,-323,5
2005,1258,9,-180,6
2006,1203,9,-239,4
2007,1261,12,-200,0
2008,1446,10,-188,1
2009,1211,8,-230,9
2010,1163,10,-128,4
2011,1394,10,-241,2
2012,1557,10,-347,1
2013,1477,10,-290,2
2014,1600,11,-262,1
2015,1461,10,-268,6
2016,1341,10,-232,1
2016
2017,1678,12,-305,11
2018,1704,11,-379,0
2019,1723,11,-313,4
2020,1525,13,-413,4
2021,1629,11,-443,1
2022,1729,12,-368,2
2023,1766,12,-467,1
2024,1737,12,-553,2
2025,1763,11,-304,6
2026,1722,10,-511,0
2027,1691,11,-373,1
2028,1660,10,-309,0
2029,1537,11,-448,5
2030,1539,11,-308,3
2031,1675,11,-244,2
2032,1583,10,-343,3
2033,1538,10,-277,1
2034,1601,9,-389,1
2035,1626,11,-330,2
2036,1598,10,-359,3
2037,1476,12,-294,6
2038,1408,9,-337,6
2039,1729,13,-230,1
2040,1819,12,-303,1
2041,1692,11,-342,2
2042,1721,11,-299,0
2043,1770,12,-264,0
2044,1649,11,-338,0
2045,1468,9,-295,0
2046,1758,10,-299,1

min,1000,6
max,2500,16
steps,7,11
decimal



