year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,71,-147,-128,200
1988,350,-16,-225,23
1989,46,-131,-263,5
1990,110,-134,-296,284
1991,31,-99,-91,291
1992,3,-36,98,384
1993,-104,15,-15,308
1994,119,-10,-59,146
1995,205,-206,-161,254
1996,132,-169,-22,235
1997,1,-51,-206,378
1998,41,-43,-119,192
1999,90,-78,-50,207
2000,45,-19,-244,478
2001,197,-192,-189,47
2002,-39,-171,-161,164
2003,37,-272,-289,186
2004,70,-209,-177,70
2005,-14,-237,-307,141
2006,222,-266,-153,44
2007,190,-86,-170,40
2008,113,-35,-178,198
2009,61,-83,-266,203
2010,66,-179,-329,272
2011,5,-360,-178,135
2012,-45,-74,-254,243
2013,113,-52,-202,100
2014,167,-142,-126,77
2015,55,-226,-226,-2
2016,307,-35,-311,32
