year,annual-frozen-days
1987,33
1988,22
1989,29
1990,24
1991,32
1992,29
1993,24
1994,6
1995,18
1996,20
1997,15
1998,22
1999,18
2000,12
2001,21
2002,5
2003,21
2004,21
2005,43
2006,30
2007,26
2008,15
2009,21
2010,39
2011,14
2012,28
2013,24
2014,6
2015,22
2016,10
