year,A1,A2,A3
,label A1,label A2,label A3
1987,23,1819,200
1988,13,2200,156
1989,35,2032,273
1990,27,2002,221
1991,23,1794,230
1992,47,1821,282
1993,33,1873,290
1994,31,1912,245
1995,49,1977,288
1996,26,1793,244
1997,21,1983,184
1998,36,2115,237
1999,31,1943,248
2000,28,1890,265
2001,41,1846,235
2002,43,1813,279
2003,41,2072,284
2004,44,1844,315
2005,32,1804,213
2006,37,2100,253
2007,46,2047,267
2008,42,1933,274
2009,29,1872,214
2010,30,2131,190
2011,21,2166,172
2012,41,1733,276
2013,33,1637,231
2014,46,1829,312
2015,37,1982,246
2016,42,2072,278
2016
2017,94,1643,569
2018,54,1701,354
2019,62,1925,426
2020,64,1717,398
2021,69,1668,526
2022,73,1556,446
2023,61,1623,429
2024,58,1662,434
2025,62,1676,415
2026,64,1612,538
2027,91,1422,586
2028,59,1710,375
2029,57,1941,374
2030,39,1801,300
2031,69,1826,477
2032,52,1906,305
2033,95,1647,568
2034,75,1900,475
2035,79,1686,484
2036,53,1639,357
2037,60,1501,387
2038,77,1807,466
2039,64,1956,435
2040,48,1810,344
2041,72,1698,448
2042,85,1722,549
2043,74,1824,459
2044,43,1664,273
2045,51,1528,389
2046,57,1656,416
