year,F1,F3,M4
,label F1,label F3,label M4
1987,24,114,3
1988,52,115,3
1989,33,114,3
1990,29,114,2
1991,33,103,4
1992,35,104,2
1993,32,105,2
1994,25,110,6
1995,45,106,3
1996,24,104,2
1997,35,114,2
1998,24,110,2
1999,37,115,3
2000,40,113,3
2001,31,104,1
2002,26,103,1
2003,34,115,3
2004,33,103,2
2005,27,103,0
2006,50,112,3
2007,33,113,4
2008,40,114,5
2009,25,116,1
2010,39,113,3
2011,20,124,1
2012,32,103,2
2013,20,101,2
2014,26,110,3
2015,30,118,1
2016,37,110,0
2016
2017,33,103,5
2018,27,103,3
2019,42,112,2
2020,28,103,4
2021,32,104,7
2022,32,103,5
2023,26,102,3
2024,26,106,5
2025,28,112,7
2026,20,102,5
2027,35,99,7
2028,20,110,4
2029,34,103,4
2030,19,109,6
2031,28,110,6
2032,24,107,2
2033,26,105,6
2034,31,109,6
2035,30,109,3
2036,29,100,6
2037,18,106,4
2038,26,109,6
2039,26,111,3
2040,38,108,4
2041,23,111,4
2042,28,116,3
2043,25,109,5
2044,27,104,5
2045,25,103,7
2046,15,100,5
