year,annual-frozen-days
1987,103
1988,88
1989,79
1990,72
1991,94
1992,120
1993,78
1994,46
1995,98
1996,123
1997,106
1998,76
1999,85
2000,52
2001,86
2002,47
2003,97
2004,116
2005,106
2006,99
2007,63
2008,95
2009,97
2010,106
2011,81
2012,83
2013,107
2014,57
2015,95
2016,89
