year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1177,10,-79,0
1988,1180,9,117,5
1989,1308,10,-92,6
1990,1266,8,-62,6
1991,1164,9,-135,9
1992,1011,7,80,3
1993,1060,9,-208,5
1994,1236,9,-151,2
1995,973,5,-111,11
1996,1250,9,-72,4
1997,1046,7,-137,8
1998,1097,7,-79,6
1999,1104,9,-60,10
2000,1235,9,-226,8
2001,842,8,27,17
2002,1084,9,10,14
2003,1183,8,4,0
2004,1333,8,-118,9
2005,1374,9,-89,8
2006,1039,8,54,2
2007,1465,10,-163,2
2008,1104,5,-133,2
2009,1111,8,-61,5
2010,1556,9,-176,1
2011,1145,8,-175,0
2012,1296,10,-152,4
2013,1051,9,-118,18
2014,1218,10,-57,12
2015,1396,10,-74,0
2016,1665,10,-220,0
2016
2017,1216,9,-114,2
2018,1664,11,-271,4
2019,1486,9,-36,0
2020,1400,11,-151,9
2021,1325,10,-21,2
2022,1368,10,-179,1
2023,1612,8,-248,3
2024,1660,10,-406,8
2025,986,10,-62,20
2026,1413,10,-259,15
2027,1393,10,-257,5
2028,1605,9,-240,1
2029,1516,9,-345,1
2030,1388,9,-347,2
2031,1467,12,-168,8
2032,1244,8,89,8
2033,1137,8,-103,1
2034,1545,10,-240,0
2035,1438,11,-76,12
2036,1353,9,-248,1
2037,1298,10,-76,19
2038,1522,11,-299,5
2039,1496,8,-83,6
2040,1194,11,-129,1
2041,1392,8,-175,13
2042,1544,11,-21,5
2043,1680,12,-67,0
2044,1259,10,-168,7
2045,1642,11,-149,3
2046,1495,9,-219,12

min,,4
max,,17
steps,,8
decimal
