year,annual-hydric-deficit
1987,190
1988,235
1989,-31
1990,-12
1991,-81
1992,-27
1993,23
1994,72
1995,59
1996,-117
1997,-192
1998,478
1999,862
2000,616
2001,760
2002,1118
2003,-110
2004,-32
2005,31
2006,-118
2007,-7
2008,-70
2009,6
2010,182
2011,-163
2012,-3
2013,17
2014,85
2015,-71
2016,608
