year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,69,8,38,74
1988,196,-78,-33,150
1989,-6,-50,-54,79
1990,30,-62,-118,139
1991,10,9,-162,62
1992,46,-161,-112,200
1993,-29,-47,-11,111
1994,75,13,-76,60
1995,80,20,-100,59
1996,7,-151,-40,67
1997,-7,-104,-167,87
1998,128,-62,91,322
1999,245,297,53,267
2000,240,22,233,120
2001,306,159,92,204
2002,200,105,535,278
2003,61,-171,-138,138
2004,90,-106,-132,117
2005,62,-82,-14,65
2006,64,-94,-88,0
2007,65,-105,-39,71
2008,41,-131,-58,77
2009,73,-46,-139,117
2010,32,-19,31,139
2011,-2,-199,-49,88
2012,19,-95,-90,163
2013,83,-4,-143,81
2014,-9,-106,125,75
2015,55,100,-251,26
2016,198,259,57,95
