year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.4,11.2,17.4,5.1
1988,2.4,13.1,16.6,5.0
1989,3.6,12.3,16.9,4.4
1990,4.2,12.3,16.5,4.9
1991,1.8,10.4,18.0,3.7
1992,1.4,12.4,18.0,3.4
1993,1.7,13.8,15.6,3.8
1994,3.5,12.1,17.9,6.5
1995,2.0,11.6,16.6,4.4
1996,-0.9,12.1,14.5,3.3
1997,2.3,11.4,16.7,4.4
1998,3.2,13.3,16.4,3.9
1999,2.1,12.6,17.5,4.2
2000,2.7,14.1,16.2,6.7
2001,3.4,12.0,16.2,4.7
2002,3.8,13.2,15.9,6.2
2003,1.1,14.9,18.6,4.3
2004,1.3,12.3,17.3,4.8
2005,0.5,13.3,16.6,4.1
2006,-0.6,13.2,18.3,7.1
2007,4.6,15.1,16.1,3.8
2008,3.1,13.1,15.9,4.2
2009,-0.1,13.8,17.5,4.8
2010,0.2,12.0,16.4,3.5
2011,2.3,14.0,17.0,5.1
2012,1.1,13.2,17.0,4.8
2013,-0.1,12.0,17.2,5.2
2014,4.1,13.1,16.2,6.5
2015,1.4,13.0,17.9,6.5
2016,3.0,12.6,17.9,4.0
