year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,64,168,150,144
1988,92,127,160,106
1989,57,79,61,108
1990,49,105,184,114
1991,37,179,147,114
1992,98,93,167,97
1993,89,109,161,104
1994,96,130,143,141
1995,98,121,333,44
1996,48,173,217,69
1997,58,147,222,151
1998,105,179,159,122
1999,86,270,123,109
2000,123,88,168,118
2001,50,253,340,67
2002,187,151,212,131
2003,45,82,106,136
2004,115,187,128,111
2005,93,108,170,113
2006,68,140,154,107
2007,169,119,192,68
2008,138,91,154,105
2009,84,160,237,127
2010,90,285,252,154
2011,64,105,260,43
2012,97,152,170,88
2013,96,267,187,66
2014,109,125,180,91
2015,60,58,105,101
2016,75,80,97,167
