year,annual-frozen-days
1987,109
1988,109
1989,75
1990,64
1991,103
1992,86
1993,103
1994,82
1995,107
1996,122
1997,105
1998,87
1999,93
2000,64
2001,103
2002,81
2003,105
2004,85
2005,103
2006,93
2007,69
2008,55
2009,85
2010,109
2011,86
2012,80
2013,94
2014,68
2015,69
2016,73
