year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,93,141,0
1988,92,139,0
1989,77,138,0
1990,77,149,2
1991,102,158,0
1992,71,140,1
1993,80,134,0
1994,88,147,0
1995,103,146,0
1996,79,137,0
1997,87,138,0
1998,93,144,1
1999,83,144,0
2000,68,130,0
2001,65,151,0
2002,89,151,1
2003,87,140,0
2004,67,136,0
2005,87,144,1
2006,88,133,1
2007,79,137,0
2008,103,150,0
2009,95,147,1
2010,116,168,1
2011,76,134,0
2012,96,145,0
2013,79,137,0
2014,102,151,1
2015,93,147,0
2016,97,156,0
2016
2017,84,133,0
2018,87,136,0
2019,9,149,0
2020,88,146,0
2021,97,147,0
2022,96,149,0
2023,103,152,0
2024,81,131,0
2025,80,150,0
2026,97,160,1
2027,109,149,0
2028,84,136,0
2029,80,139,0
2030,91,135,1
2031,89,150,1
2032,60,137,0
2033,83,130,0
2034,86,131,0
2035,59,135,0
2036,77,132,0
2037,80,143,0
2038,83,146,0
2039,99,145,1
2040,37,122,0
2041,72,141,1
2042,94,141,0
2043,85,148,0
2044,71,134,0
2045,67,127,1
2046,101,149,0
