year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,10,-94,-120,81
1988,26,-176,-122,40
1989,-32,-214,-256,49
1990,-45,-192,-107,48
1991,-29,-89,-149,56
1992,28,-215,-178,45
1993,28,-194,-107,52
1994,29,-155,-178,82
1995,27,-148,28,-5
1996,1,-104,-25,11
1997,-8,-122,-47,100
1998,36,-108,-108,72
1999,24,12,-200,53
2000,57,-259,-78,58
2001,-5,-2,74,13
2002,108,-143,-90,86
2003,-12,-239,-207,83
2004,45,-110,-197,42
2005,24,-197,-178,37
2006,21,-175,-196,34
2007,77,-214,-99,11
2008,55,-231,-157,40
2009,27,-146,-79,63
2010,25,16,-40,93
2011,-5,-237,-23,-23
2012,22,-160,-138,30
2013,41,-4,-118,-1
2014,26,-158,-140,25
2015,-22,-247,-273,29
2016,4,-244,-210,121
