year,A1,A2,A3
,label A1,label A2,label A3
1987,6,3562,59
1988,17,3278,108
1989,9,3520,62
1990,21,3358,139
1991,9,3634,112
1992,14,3283,100
1993,8,3093,119
1994,8,3331,117
1995,16,3612,123
1996,5,3323,66
1997,18,3278,154
1998,13,3484,116
1999,16,3464,158
2000,4,3247,69
2001,8,3528,74
2002,9,3602,122
2003,10,3419,98
2004,33,3218,213
2005,14,3678,110
2006,8,3303,68
2007,3,3134,57
2008,13,3597,111
2009,17,3369,133
2010,19,3912,122
2011,11,3310,85
2012,25,3597,175
2013,9,3310,74
2014,17,3620,109
2015,7,3364,88
2016,4,3795,45
2016
2017,25,2871,171
2018,33,2923,216
2019,15,3219,134
2020,5,3037,50
2021,16,3321,147
2022,13,3240,107
2023,11,3639,114
2024,16,3107,173
2025,14,3107,130
2026,7,3207,110
2027,6,3529,71
2028,48,2993,282
2029,19,3096,207
2030,26,3057,241
2031,40,3306,255
2032,14,2945,117
2033,38,3028,250
2034,32,2829,253
2035,15,2813,103
2036,15,2863,135
2037,30,3046,185
2038,18,3196,145
2039,14,3191,114
2040,16,2578,143
2041,14,3085,107
2042,18,3199,157
2043,2,3184,33
2044,34,3093,247
2045,18,3014,176
2046,30,3262,202
