year,annual-hydric-deficit
1987,-123
1988,-232
1989,-452
1990,-297
1991,-211
1992,-319
1993,-221
1994,-222
1995,-98
1996,-117
1997,-77
1998,-107
1999,-111
2000,-222
2001,80
2002,-38
2003,-376
2004,-220
2005,-314
2006,-317
2007,-225
2008,-292
2009,-135
2010,94
2011,-288
2012,-246
2013,-81
2014,-247
2015,-513
2016,-329
