year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1340,10,-294,5
1988,1445,10,-356,0
1989,1219,9,-285,10
1990,1272,9,-402,12
1991,1339,11,-428,3
1992,1367,9,-299,3
1993,1578,10,-490,0
1994,1431,8,-479,3
1995,1399,9,-382,5
1996,1329,8,-469,6
1997,1489,9,-525,1
1998,1361,9,-381,7
1999,1518,11,-457,7
2000,1359,10,-349,3
2001,1246,9,-287,17
2002,1288,11,-343,17
2003,1468,10,-356,6
2004,1399,8,-265,11
2005,1272,8,-261,8
2006,1404,8,-367,1
2007,1308,6,-201,0
2008,1337,9,-310,17
2009,1449,7,-390,9
2010,1089,8,-220,18
2011,1230,6,-269,3
2012,1454,10,-329,3
2013,1381,9,-288,1
2014,1342,9,-277,3
2015,1351,8,-264,6
2016,1028,9,-260,5
2016
2017,1567,8,-386,3
2018,1687,9,-338,3
2019,1480,12,-260,1
2020,1187,8,-400,6
2021,1415,7,-463,6
2022,1481,10,-400,2
2023,1376,9,-482,5
2024,1695,10,-459,0
2025,1201,6,-234,6
2026,1271,10,-474,8
2027,1244,8,-298,8
2028,1864,13,-381,5
2029,1668,10,-624,3
2030,1820,11,-511,2
2031,1603,10,-466,11
2032,1447,12,-404,12
2033,1896,10,-425,0
2034,1928,11,-422,0
2035,1372,8,-395,5
2036,1514,11,-300,1
2037,1521,10,-332,4
2038,1408,9,-287,7
2039,1447,9,-399,0
2040,1673,11,-392,0
2041,1377,10,-318,11
2042,1673,11,-342,3
2043,1089,7,-225,0
2044,1778,12,-414,4
2045,1782,12,-398,0
2046,1602,10,-336,2

min,,4
max,,17
steps,,8
decimal
