year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,196,125,72,541
1988,166,161,18,207
1989,72,205,93,95
1990,42,85,42,481
1991,199,165,230,277
1992,180,187,74,440
1993,34,163,231,477
1994,228,97,166,236
1995,126,170,119,244
1996,307,86,224,439
1997,171,141,45,368
1998,47,216,256,234
1999,190,151,160,340
2000,27,183,63,578
2001,219,95,41,63
2002,209,159,156,345
2003,68,109,30,274
2004,57,207,69,293
2005,68,82,184,191
2006,93,27,168,323
2007,43,95,25,99
2008,270,168,71,570
2009,239,177,95,318
2010,256,144,66,450
2011,294,89,80,301
2012,87,180,148,391
2013,313,287,125,360
2014,435,134,94,602
2015,222,142,137,314
2016,248,97,93,469
