year,F1,F3,M4
,label F1,label F3,label M4
1987,35,122,3
1988,36,116,2
1989,52,116,3
1990,36,111,4
1991,41,123,4
1992,32,126,7
1993,38,107,3
1994,54,116,4
1995,25,121,5
1996,40,115,4
1997,50,122,4
1998,32,127,6
1999,23,123,5
2000,39,120,5
2001,32,116,4
2002,24,123,4
2003,47,124,5
2004,38,119,5
2005,21,124,6
2006,25,127,4
2007,31,133,6
2008,21,121,4
2009,42,120,5
2010,25,124,5
2011,44,120,6
2012,29,105,5
2013,31,121,4
2014,25,123,6
2015,40,117,3
2016,32,106,4
2016
2017,23,123,5
2018,29,118,5
2019,43,102,6
2020,22,112,7
2021,25,124,5
2022,38,122,6
2023,19,119,5
2024,25,102,5
2025,38,113,7
2026,29,124,8
2027,34,115,8
2028,42,115,9
2029,27,131,6
2030,33,114,5
2031,20,133,4
2032,23,117,6
2033,34,121,7
2034,32,117,7
2035,32,126,5
2036,23,108,8
2037,36,122,3
2038,23,112,7
2039,30,115,6
2040,20,111,7
2041,25,116,7
2042,25,107,4
2043,30,120,5
2044,41,115,7
2045,28,121,3
2046,24,103,5

min,,70
max,,140
steps,,11
decimal
