year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,6.0,14.7,22.0,11.3
1988,8.1,15.3,21.3,10.9
1989,8.8,15.4,21.7,10.8
1990,9.4,15.7,21.5,10.0
1991,7.6,14.2,22.3,9.6
1992,7.6,15.8,21.5,10.1
1993,8.2,16.4,21.1,11.1
1994,8.1,15.2,21.8,11.5
1995,7.6,14.9,20.8,11.0
1996,7.3,15.7,19.7,10.4
1997,8.9,15.8,21.4,11.1
1998,8.4,15.7,21.4,9.1
1999,7.5,16.5,22.1,9.9
2000,7.9,16.7,21.2,10.8
2001,9.5,16.2,21.3,12.5
2002,9.1,16.5,20.8,12.2
2003,7.8,17.8,23.2,11.4
2004,8.0,15.8,21.7,12.1
2005,7.8,17.1,21.7,11.2
2006,7.7,16.7,22.5,13.1
2007,9.9,17.6,21.2,11.6
2008,8.3,15.9,21.0,10.6
2009,7.4,16.9,22.1,11.1
2010,6.3,15.5,21.4,9.6
2011,7.8,17.0,21.3,11.9
2012,7.8,16.2,21.9,11.2
2013,6.6,15.5,22.1,11.5
2014,8.8,16.7,21.5,12.4
2015,8.1,17.5,22.8,11.6
2016,8.6,16.4,22.7,11.3
