year,annual-precipitations
1987,934
1988,552
1989,464
1990,649
1991,870
1992,882
1993,905
1994,728
1995,659
1996,1056
1997,725
1998,754
1999,840
2000,851
2001,418
2002,870
2003,480
2004,626
2005,524
2006,611
2007,262
2008,1080
2009,828
2010,916
2011,764
2012,805
2013,1084
2014,1264
2015,815
2016,907
