year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,27,-269,-367,398
1988,-46,-137,-443,47
1989,-119,-163,-355,-59
1990,-129,-281,-405,333
1991,46,-189,-190,124
1992,24,-168,-328,309
1993,-146,-219,-231,292
1994,41,-294,-301,77
1995,-79,-195,-324,96
1996,157,-292,-198,285
1997,-13,-253,-393,200
1998,-141,-168,-209,68
1999,-3,-240,-296,181
2000,-160,-224,-406,435
2001,57,-292,-422,-121
2002,34,-225,-257,192
2003,-122,-309,-472,102
2004,-121,-178,-394,126
2005,-114,-319,-259,32
2006,-77,-373,-290,154
2007,-143,-302,-445,-87
2008,100,-192,-372,417
2009,66,-213,-371,155
2010,109,-212,-388,305
2011,145,-309,-359,125
2012,-105,-205,-319,231
2013,191,-103,-326,242
2014,302,-273,-344,496
2015,81,-280,-333,218
2016,99,-325,-367,364
