year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,136,137,205,99
1988,162,78,97,102
1989,56,61,88,140
1990,86,150,135,107
1991,30,86,107,69
1992,95,104,151,197
1993,75,189,172,119
1994,155,200,207,100
1995,148,140,158,70
1996,36,105,208,124
1997,105,96,172,136
1998,78,174,127,158
1999,101,145,107,87
2000,129,99,151,93
2001,133,108,208,130
2002,106,221,187,214
2003,63,106,136,101
2004,110,130,152,84
2005,100,101,169,124
2006,85,122,99,82
2007,154,229,274,93
2008,124,119,177,83
2009,96,169,103,209
2010,100,218,276,177
2011,63,119,211,83
2012,88,133,119,116
2013,111,182,116,171
2014,54,136,287,75
2015,86,69,234,129
2016,84,132,79,100
