year,A1,A2,A3
,label A1,label A2,label A3
1987,17,2931,123
1988,21,3104,149
1989,13,3119,126
1990,49,3005,331
1991,13,3421,92
1992,9,3376,123
1993,13,2833,107
1994,10,2855,115
1995,23,2861,191
1996,6,2968,54
1997,9,3161,94
1998,14,3243,134
1999,6,3315,68
2000,10,2796,117
2001,26,3208,213
2002,16,3137,130
2003,15,3049,123
2004,32,3123,196
2005,12,2898,147
2006,15,3212,115
2007,9,2863,75
2008,10,2983,77
2009,12,2983,118
2010,21,2699,173
2011,15,3002,126
2012,27,2853,158
2013,28,2953,213
2014,35,2886,246
2015,22,2935,133
2016,10,2988,104
2016
2017,27,2526,218
2018,25,2556,223
2019,20,2534,171
2020,31,2996,209
2021,35,2736,260
2022,29,2787,178
2023,11,2725,101
2024,24,2805,178
2025,10,2853,93
2026,10,2805,98
2027,47,2816,316
2028,17,2952,117
2029,9,2630,115
2030,39,2648,330
2031,16,2947,140
2032,18,2581,144
2033,11,2766,94
2034,24,2714,160
2035,11,2545,112
2036,38,2711,252
2037,13,2579,139
2038,17,2767,160
2039,10,2580,88
2040,23,2834,190
2041,30,2600,205
2042,34,2692,221
2043,31,3002,227
2044,36,2635,258
2045,23,2765,171
2046,12,2790,107
