year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.5,11.8,16.4,6.1
1988,3.5,13.6,17.2,6.0
1989,5.3,13.3,17.9,6.2
1990,6.4,13.5,16.9,6.1
1991,3.3,10.9,18.0,5.7
1992,4.2,14.5,18.3,5.0
1993,2.6,14.5,15.6,4.2
1994,3.4,13.3,18.5,6.8
1995,3.9,12.4,18.3,5.1
1996,-1.5,12.3,15.7,4.5
1997,3.0,12.6,18.3,5.2
1998,5.0,14.2,16.4,4.1
1999,3.6,13.4,18.6,6.0
2000,4.3,14.6,16.6,7.5
2001,2.5,12.7,17.5,6.2
2002,4.7,13.5,17.8,4.2
2003,1.4,14.3,18.6,5.5
2004,2.9,12.8,17.5,6.3
2005,2.7,13.5,17.6,6.5
2006,0.3,13.7,19.9,9.2
2007,6.3,15.4,17.3,5.8
2008,5.3,14.1,17.6,6.3
2009,2.0,14.5,18.7,6.2
2010,0.3,12.8,18.0,3.5
2011,2.9,15.3,17.9,7.0
2012,3.1,13.8,18.0,6.1
2013,0.3,13.4,18.3,7.5
2014,5.3,14.3,18.6,8.0
2015,4.1,13.3,18.8,8.6
2016,3.6,14.6,19.7,6.1
