year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands,lucerne,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,72,70,65,65,33,28,,40,50,360,630,119,73,63,,56
2001,59,62,40,75,20,20,20,40,35,380,510,113,70,54,,63
2002,67,66,55,81,29,28,20,40,45,400,500,118,61,50,,64
2003,51,51,44,55,30,27,25,29,32,360,482,85,31,29,,40
2004,73,70,70,94,33,28,,39,39,400,600,125,85,66,,57
2005,64,65,60,87,32,30,,33,25,400,700,120,75,58,,69
2006,65,63,58,65,31,20,15,40,30,350,655,98,75,58,,58
2007,61,53,50,87,31,28,,37,40,350,823,124,80,70,122,67
2008,64,65,58,79,31,27,,35,40,350,712,115,71,59,110,75
2009,74,69,63,89,37,29,,40,51,370,677,132,59,66,104,64
2010,65,62,63,77,33,23,30,43,31,350,739,105,59,58,103,56
2011,64,57,63,96,33,31,25,26,32,360,750,139,50,61,120,63
2012,62,58,47,81,24,24,20,41,48,360,700,142,60,56,112,43
2013,68,56,54,66,26,16,20,35,29,400,726,99,63,59,100,63
2014,60,60,54,94,34,22,21,30,23,500,800,127,59,46,130,69
2015,73,71,62,51,33,17,21,28,25,350,523,47,41,33,,69
2016,44,53,40,71,26,20,20,18,28,350,642,75,48,50,,37
2017,62,57,50,96,36,30,33,31,22,390,910,140,69,54,,70
