year,annual-average-temperature
1987,9.0
1988,10.1
1989,10.2
1990,10.2
1991,9.4
1992,10.2
1993,9.7
1994,11.2
1995,10.2
1996,9.0
1997,10.2
1998,9.9
1999,10.4
2000,10.9
2001,10.6
2002,11.3
2003,11.7
2004,10.4
2005,10.6
2006,11.1
2007,11.1
2008,10.4
2009,10.8
2010,9.7
2011,11.7
2012,10.2
2013,9.3
2014,10.9
2015,10.7
2016,9.9
