year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,129,97,22,180
1988,349,-102,-72,221
1989,85,-45,-140,235
1990,148,0,-148,293
1991,67,-99,-87,201
1992,-11,-72,-126,199
1993,6,-45,0,312
1994,233,16,-69,172
1995,359,14,18,198
1996,34,-129,-37,302
1997,48,-3,-104,308
1998,93,72,20,216
1999,302,84,-92,381
2000,49,-64,-48,194
2001,244,16,-36,129
2002,71,-186,-123,253
2003,37,-221,-265,111
2004,45,-155,-84,242
2005,63,-134,-153,103
2006,177,-104,-95,201
2007,195,-120,12,109
2008,100,-44,-60,143
2009,91,-52,-73,153
2010,94,-122,-53,185
2011,34,-172,6,259
2012,48,-8,-144,277
2013,89,83,-93,302
2014,84,-224,-73,246
2015,136,-104,-180,92
2016,231,86,-199,73
