year,A1,A2,A3
,label A1,label A2,label A3
1987,10,2883,90
1988,1,2882,24
1989,2,2999,35
1990,23,3279,153
1991,2,2897,66
1992,4,2982,45
1993,9,2736,80
1994,11,3160,88
1995,5,2940,43
1996,9,2677,94
1997,14,3245,135
1998,7,2972,49
1999,7,3076,103
2000,11,2894,104
2001,27,2913,180
2002,8,2677,60
2003,28,3074,162
2004,2,2786,44
2005,5,2779,58
2006,24,2856,165
2007,15,2981,103
2008,5,2836,58
2009,29,2691,160
2010,10,2966,84
2011,19,3021,137
2012,15,3097,99
2013,7,3323,52
2014,23,2979,148
2015,3,3082,44
2016,11,3211,79
2016
2017,23,2600,150
2018,28,2482,174
2019,27,2605,168
2020,45,2548,290
2021,4,2693,47
2022,22,2745,119
2023,24,2517,184
2024,40,2481,334
2025,33,2688,199
2026,14,2717,124
2027,8,2249,93
2028,20,2440,135
2029,20,2648,186
2030,26,2663,209
2031,25,2453,184
2032,64,2563,398
2033,29,2776,207
2034,27,2409,207
2035,12,2744,99
2036,23,2615,168
2037,25,2455,168
2038,12,2805,97
2039,32,2621,213
2040,29,2298,174
2041,23,2507,173
2042,22,2633,149
2043,28,2646,173
2044,40,2841,256
2045,20,2963,133
2046,19,2625,135

min,,1800
max,,3400
steps,,9
decimal
