year,annual-estival-days
1987,37
1988,32
1989,51
1990,43
1991,55
1992,44
1993,32
1994,45
1995,47
1996,36
1997,45
1998,31
1999,40
2000,35
2001,41
2002,28
2003,81
2004,45
2005,41
2006,53
2007,29
2008,30
2009,38
2010,38
2011,37
2012,38
2013,40
2014,28
2015,49
2016,34
