year,annual-precipitations
1987,973
1988,1328
1989,1234
1990,1353
1991,1108
1992,1266
1993,1199
1994,1398
1995,1117
1996,1150
1997,1022
1998,1321
1999,1402
2000,1286
2001,980
2002,1183
2003,844
2004,1249
2005,1140
2006,1229
2007,1140
2008,1366
2009,1314
2010,1062
2011,1409
2012,1191
2013,1187
2014,1302
2015,1598
2016,1085
