year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,4.3,10.4,13.9,6.9
1988,5.5,11.3,13.0,7.9
1989,6.5,10.0,14.6,7.1
1990,6.7,10.8,14.2,7.2
1991,5.0,10.3,14.7,7.3
1992,6.3,11.6,13.2,6.6
1993,6.8,11.1,13.3,6.6
1994,5.9,10.1,13.6,8.8
1995,5.8,11.4,15.7,7.9
1996,5.9,10.7,14.7,8.3
1997,6.5,11.7,15.3,8.6
1998,7.5,11.1,14.6,8.4
1999,6.7,11.4,15.2,8.0
2000,6.7,10.8,14.8,7.0
2001,4.7,11.0,14.2,8.6
2002,7.3,10.8,14.5,7.8
2003,6.3,11.5,15.3,8.0
2004,6.2,11.5,14.6,8.1
2005,7.0,11.2,14.9,8.4
2006,5.8,11.3,15.5,8.7
2007,6.6,11.9,14.3,9.5
2008,6.4,11.6,14.3,7.5
2009,6.2,11.8,14.2,7.5
2010,4.0,11.7,14.5,5.3
2011,6.0,11.6,13.8,9.1
2012,7.8,10.5,14.0,6.8
2013,4.9,10.4,15.6,8.6
2014,6.1,12.1,14.7,8.1
2015,5.4,10.3,13.2,9.0
2016,6.0,11.2,14.7,7.9
