year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,155,-24,69,287
1988,374,-31,210,259
1989,357,-56,13,360
1990,481,-32,-67,417
1991,258,55,-18,305
1992,292,-36,194,286
1993,240,110,24,304
1994,381,31,115,348
1995,364,-106,-40,296
1996,195,-30,26,366
1997,168,-50,88,284
1998,249,68,49,446
1999,286,16,159,418
2000,220,-7,62,461
2001,139,-14,68,237
2002,289,77,-49,309
2003,113,23,-68,195
2004,262,51,95,279
2005,232,77,20,246
2006,165,32,45,397
2007,253,-37,67,279
2008,334,-35,172,312
2009,153,34,145,414
2010,122,-100,190,280
2011,260,30,104,456
2012,153,89,74,339
2013,211,93,-9,319
2014,462,-3,-54,350
2015,340,24,144,545
2016,298,-13,88,156
