year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,209,173,261,330
1988,439,193,391,305
1989,427,174,233,400
1990,556,193,140,464
1991,313,266,184,344
1992,351,186,394,335
1993,313,316,216,354
1994,451,239,309,399
1995,430,138,203,347
1996,290,205,224,431
1997,232,172,293,326
1998,311,272,242,497
1999,352,223,362,465
2000,283,207,276,520
2001,206,205,276,293
2002,374,284,160,365
2003,193,243,153,256
2004,341,272,302,334
2005,311,292,231,307
2006,238,262,267,463
2007,332,194,269,346
2008,417,208,370,371
2009,232,266,344,472
2010,187,149,397,330
2011,329,257,305,519
2012,233,300,268,389
2013,279,307,215,386
2014,537,220,149,396
2015,414,238,337,610
2016,377,210,286,212
