year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2422,15,-454,0
1988,1720,12,-243,0
1989,1914,12,-313,0
1990,1954,12,-395,0
1991,2123,13,-289,0
1992,2094,13,-337,0
1993,2248,13,-588,0
1994,2128,11,-352,0
1995,1837,12,-394,0
1996,2189,10,-583,0
1997,2062,13,-418,2
1998,1960,9,-430,0
1999,2098,13,-373,0
2000,1796,11,-249,0
2001,2097,10,-340,0
2002,2012,11,-444,0
2003,2195,12,-346,1
2004,2046,11,-406,0
2005,1718,11,-231,0
2006,1777,11,-262,0
2007,1735,11,-194,0
2008,1978,12,-329,0
2009,2147,12,-261,0
2010,2246,14,-428,0
2011,1958,10,-417,1
2012,2312,13,-375,2
2013,2209,14,-347,0
2014,1936,13,-242,2
2015,2156,12,-438,2
2016,2408,12,-399,0
2016
2017,2324,13,-204,0
2018,2174,12,-346,1
2019,2254,13,-367,0
2020,2493,14,-574,0
2021,2120,13,-356,0
2022,1844,9,-311,0
2023,2208,12,-417,0
2024,1905,12,-396,1
2025,2038,11,-410,0
2026,2050,12,-251,2
2027,2110,13,-412,0
2028,2186,13,-472,4
2029,2137,11,-308,0
2030,2028,14,-390,0
2031,2083,12,-400,0
2032,2288,14,-416,0
2033,2010,12,-240,0
2034,2297,12,-417,0
2035,2288,13,-501,0
2036,1955,12,-231,1
2037,2306,12,-258,0
2038,2317,13,-494,0
2039,2342,12,-382,0
2040,2309,11,-534,0
2041,2213,14,-410,0
2042,2344,12,-379,1
2043,2251,14,-463,1
2044,2134,13,-315,0
2045,1999,11,-271,3
2046,2336,14,-489,0
