year,A1,A2,A3
,label A1,label A2,label A3
1987,75,2226,520
1988,19,2545,149
1989,38,2409,273
1990,38,2416,270
1991,54,2650,383
1992,50,2635,346
1993,44,2282,357
1994,47,2437,376
1995,31,2391,189
1996,52,2418,375
1997,61,2556,407
1998,62,2349,386
1999,51,2665,375
2000,28,2512,249
2001,50,2365,315
2002,43,2433,280
2003,59,2376,375
2004,47,2395,323
2005,22,2608,174
2006,34,2412,242
2007,26,2438,189
2008,48,2738,317
2009,50,2264,289
2010,54,2696,363
2011,48,2578,299
2012,84,2386,510
2013,62,2615,422
2014,41,2637,273
2015,69,2401,426
2016,80,2391,486
2016
2017,64,2218,424
2018,55,2326,379
2019,77,2117,487
2020,96,2090,647
2021,54,2276,406
2022,49,2232,306
2023,67,2339,454
2024,41,2772,322
2025,75,2690,438
2026,53,2457,354
2027,36,2049,336
2028,76,2330,475
2029,51,2423,401
2030,40,2396,325
2031,58,2251,372
2032,71,2234,451
2033,62,2260,361
2034,74,2414,468
2035,66,2259,502
2036,34,2275,290
2037,63,2126,478
2038,84,2352,523
2039,74,2212,527
2040,72,2057,466
2041,58,2211,427
2042,77,2344,482
2043,72,1995,465
2044,65,2413,405
2045,69,2401,414
2046,70,2625,451
