year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,224,249,223,273
1988,242,170,322,153
1989,92,340,434,105
1990,90,51,69,125
1991,80,226,209,227
1992,95,131,116,292
1993,43,128,272,331
1994,27,113,104,75
1995,205,189,338,222
1996,67,211,370,174
1997,110,205,236,281
1998,91,245,359,263
1999,186,296,203,273
2000,83,125,158,460
2001,291,263,333,194
2002,128,372,396,334
2003,117,162,200,236
2004,278,335,299,296
2005,145,287,469,316
2006,162,355,328,129
2007,246,196,353,361
2008,174,311,273,327
2009,244,224,213,340
2010,287,346,336,293
2011,81,301,123,230
2012,93,288,287,382
2013,578,220,305,258
2014,343,371,655,437
2015,272,296,320,340
2016,384,294,262,277
