year,annual-estival-days
1987,91
1988,82
1989,59
1990,81
1991,64
1992,84
1993,74
1994,92
1995,75
1996,63
1997,90
1998,75
1999,86
2000,92
2001,86
2002,81
2003,112
2004,70
2005,71
2006,80
2007,88
2008,92
2009,112
2010,69
2011,112
2012,108
2013,89
2014,74
2015,90
2016,98

min,0
max,135
steps,10
decimal
