year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,145,-57,-116,195
1988,139,-127,-8,83
1989,-1,13,113,30
1990,-26,-265,-265,43
1991,0,-81,-114,156
1992,0,-207,-262,222
1993,-54,-207,-60,259
1994,-81,-200,-232,9
1995,110,-111,24,153
1996,0,-127,84,102
1997,25,-131,-69,213
1998,-15,-79,40,201
1999,79,-25,-121,199
2000,-23,-254,-231,374
2001,181,-59,-3,111
2002,13,42,84,252
2003,28,-195,-167,163
2004,189,47,-13,229
2005,69,-23,204,254
2006,78,52,17,42
2007,145,-145,22,296
2008,76,-5,-50,247
2009,163,-102,-125,264
2010,204,53,30,229
2011,-9,-30,-232,158
2012,-12,-41,-72,312
2013,515,-92,-38,181
2014,242,70,380,356
2015,182,-24,-10,277
2016,296,-13,-58,214
