year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,46,0,-112,6,23,-394,24,13,81
1988,19,1,-107,5,1,-244,34,31,70
1989,21,0,-178,7,5,-324,33,27,85
1990,38,0,-148,8,7,-366,31,30,53
1991,40,10,-131,7,4,-320,37,30,206
1992,35,2,-98,7,10,-367,36,27,101
1993,34,3,-209,7,9,-468,16,21,81
1994,46,2,-142,8,11,-388,34,17,136
1995,17,2,-131,8,2,-356,42,30,114
1996,50,0,-255,9,7,-534,17,34,84
1997,42,0,-179,5,5,-420,34,18,127
1998,51,1,-181,9,8,-431,35,21,90
1999,42,2,-131,7,4,-373,39,33,99
2000,28,0,-94,4,6,-352,46,16,144
2001,46,2,-71,6,6,-284,22,30,39
2002,37,3,-189,5,0,-417,35,27,115
2003,49,3,-175,4,6,-367,19,20,65
2004,55,0,-163,7,6,-373,31,28,107
2005,23,0,-100,4,0,-249,38,29,149
2006,36,0,-58,5,3,-284,44,31,107
2007,7,0,-82,7,2,-303,55,30,155
2008,37,12,-117,6,3,-368,32,27,77
2009,39,2,-137,6,2,-309,18,13,120
2010,48,11,-109,6,3,-330,22,29,86
2011,37,1,-167,8,9,-433,31,28,95
2012,50,5,-118,6,16,-348,35,12,73
2013,31,3,-158,6,18,-400,31,29,121
2014,40,8,-132,6,1,-271,28,32,143
2015,38,1,-176,6,14,-401,37,27,79
2016,54,0,-153,7,20,-405,16,32,109
2016
2017,57,3,-78,4,17,-272,18,14,203
2018,47,1,-91,5,10,-344,24,25,94
2019,36,1,-35,6,16,-320,32,15,60
2020,50,0,-235,10,25,-494,33,34,63
2021,35,2,-101,5,7,-377,41,10,147
2022,30,0,-33,7,7,-304,45,14,114
2023,38,0,-138,7,14,-390,34,28,98
2024,23,2,-192,6,6,-369,45,24,139
2025,45,4,-174,8,10,-406,38,17,114
2026,45,1,-140,6,11,-293,32,27,124
2027,44,2,-132,8,4,-364,27,8,76
2028,53,2,-202,8,14,-436,33,13,117
2029,42,7,-63,6,5,-286,20,16,121
2030,28,2,-134,7,4,-408,40,24,149
2031,36,0,-150,9,13,-394,34,26,156
2032,40,3,-109,7,10,-367,21,21,89
2033,24,0,-18,5,11,-272,42,18,111
2034,44,0,-69,7,9,-351,23,22,105
2035,46,6,-166,7,20,-442,31,11,94
2036,40,3,-14,6,4,-261,35,19,148
2037,51,0,-59,3,19,-282,21,14,194
2038,57,0,-191,8,14,-464,26,19,91
2039,52,0,-104,6,23,-347,21,23,92
2040,49,0,-172,8,16,-417,20,20,59
2041,37,1,-147,8,19,-383,30,20,160
2042,46,7,-35,6,24,-326,21,19,97
2043,45,4,-131,6,12,-412,28,12,104
2044,43,2,-163,8,4,-373,40,36,191
2045,32,0,-159,5,11,-295,40,26,188
2046,52,3,-126,7,13,-382,16,32,51
