year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.4,13.6,18.1,4.3
1988,2.0,13.5,18.6,2.4
1989,1.6,14.6,17.9,3.3
1990,2.2,13.8,17.2,4.8
1991,1.2,13.3,18.4,3.6
1992,-0.7,13.9,18.7,4.1
1993,-2.4,14.0,16.9,4.5
1994,2.6,14.6,20.2,4.3
1995,1.8,13.9,18.2,3.0
1996,-2.0,15.3,16.7,5.4
1997,0.1,13.3,16.9,4.3
1998,1.3,14.8,18.2,2.3
1999,1.0,14.6,19.1,4.0
2000,-1.3,15.3,17.7,6.1
2001,2.8,14.1,18.5,2.4
2002,2.1,14.8,18.5,3.8
2003,-2.1,15.2,18.3,3.8
2004,0.0,14.4,18.2,5.6
2005,-1.3,14.4,18.9,4.6
2006,-0.9,14.6,18.8,5.1
2007,4.6,15.8,18.8,3.4
2008,2.0,15.5,18.9,6.2
2009,1.2,16.0,20.0,6.3
2010,1.5,15.4,19.4,5.2
2011,0.4,15.1,19.8,3.5
2012,-1.4,16.7,21.9,5.4
2013,1.8,16.4,18.9,6.0
2014,4.8,15.3,19.6,6.7
2015,2.0,14.8,20.8,6.0
2016,3.3,16.1,19.6,3.1
