year,A1,A2,A3
,label A1,label A2,label A3
1987,30,3511,172
1988,16,3202,161
1989,14,3373,153
1990,29,3161,190
1991,30,3065,249
1992,25,3620,168
1993,31,2902,231
1994,24,3212,251
1995,12,3065,107
1996,11,3309,126
1997,30,3182,220
1998,19,3240,165
1999,29,3408,204
2000,13,3080,168
2001,34,3332,198
2002,36,3378,256
2003,17,3105,132
2004,54,3138,345
2005,32,3525,200
2006,38,3319,267
2007,41,3533,263
2008,42,3444,271
2009,17,3386,155
2010,22,3140,192
2011,25,3231,191
2012,36,3346,241
2013,35,3225,236
2014,29,3367,204
2015,33,3654,266
2016,10,3269,121
2016
2017,42,2859,357
2018,50,3303,338
2019,28,3046,223
2020,44,2975,292
2021,33,2936,229
2022,8,3143,112
2023,46,3240,363
2024,39,3326,321
2025,67,2620,364
2026,14,2919,139
2027,22,2959,206
2028,51,3135,339
2029,40,3388,321
2030,31,3018,265
2031,54,2795,317
2032,37,2843,237
2033,52,2827,317
2034,39,3339,261
2035,34,3366,213
2036,38,2935,268
2037,24,3024,179
2038,49,3211,300
2039,50,3509,315
2040,34,2985,228
2041,33,3175,204
2042,50,2586,310
2043,57,2516,382
2044,53,3042,336
2045,31,2886,187
2046,49,3075,322
