year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,104,171,125,215
1988,182,248,340,126
1989,64,170,240,87
1990,63,79,69,156
1991,43,230,219,124
1992,45,114,129,246
1993,81,168,265,164
1994,123,181,152,158
1995,142,176,281,139
1996,68,199,234,146
1997,51,248,301,154
1998,84,293,278,217
1999,76,287,250,117
2000,65,112,191,41
2001,119,226,397,72
2002,37,198,253,108
2003,90,89,174,128
2004,104,171,241,126
2005,104,277,338,74
2006,110,309,223,57
2007,111,122,266,157
2008,83,202,228,158
2009,102,162,82,173
2010,130,258,157,96
2011,71,164,132,29
2012,69,216,74,111
2013,135,174,164,80
2014,103,209,203,135
2015,69,212,207,99
2016,130,226,214,173
