year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,36,-113,-186,155
1988,107,-47,34,65
1989,-16,-139,-59,25
1990,-40,-245,-251,92
1991,-37,-74,-86,56
1992,-32,-193,-210,175
1993,14,-156,-32,96
1994,29,-146,-201,85
1995,54,-121,-33,79
1996,8,-130,-53,80
1997,-28,-55,27,89
1998,4,2,-32,156
1999,4,9,-40,56
2000,-1,-222,-129,-51
2001,28,-82,94,3
2002,-64,-132,-66,32
2003,14,-274,-170,56
2004,24,-144,-78,50
2005,33,-28,34,-3
2006,42,7,-105,-15
2007,10,-241,-76,92
2008,-3,-108,-105,92
2009,28,-195,-263,107
2010,55,-23,-152,25
2011,-6,-161,-210,-39
2012,-11,-114,-320,46
2013,57,-146,-174,12
2014,4,-106,-136,61
2015,-15,-96,-134,36
2016,45,-92,-110,116
