year,annual-frozen-days
1987,71
1988,31
1989,44
1990,27
1991,58
1992,30
1993,40
1994,25
1995,33
1996,64
1997,44
1998,43
1999,30
2000,26
2001,41
2002,21
2003,49
2004,37
2005,45
2006,58
2007,30
2008,42
2009,46
2010,81
2011,30
2012,42
2013,50
2014,14
2015,28
2016,36
