year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,83,77,75,60,90,29,23,50,50,725,440,134,104,76
2001,87,85,70,70,89,34,25,46,40,604,407,136,108,73
2002,88,81,70,70,90,39,18,54,50,764,474,147,106,71
2003,85,72,70,60,93,37,20,52,52,785,447,150,102,68
2004,91,84,70,70,96,40,20,55,55,820,516,150,109,71
2005,82,82,65,63,97,40,22,47,45,831,466,150,102,68
2006,81,78,78,70,94,30,22,51,45,810,447,130,108,72
2007,75,77,73,50,90,30,24,39,51,822,487,135,127,83
2008,94,88,81,75,95,37,24,50,64,885,467,154,120,79
2009,94,87,62,62,95,43,24,55,52,940,457,150,79,52
2010,86,82,60,60,90,38,22,50,32,820,418,140,81,55
2011,84,81,60,52,100,46,20,41,39,930,477,150,87,58
2012,85,85,65,64,93,41,22,50,53,864,430,147,111,73
2013,93,85,66,64,93,40,22,50,41,880,452,147,93,61
2014,91,87,70,68,103,40,20,43,43,910,491,160,161,110
2015,99,98,65,66,89,42,23,44,35,920,449,147,79,54
2016,59,63,39,63,65,33,18,30,37,870,408,135,99,65
2017,88,83,67,62,101,43,24,43,29,951,464,150,80,52
