year,F1,F3,M4
,label F1,label F3,label M4
1987,58,127,3
1988,57,136,2
1989,39,122,1
1990,58,136,2
1991,69,132,1
1992,46,132,0
1993,51,137,2
1994,49,123,2
1995,39,132,4
1996,42,115,1
1997,43,136,3
1998,66,134,1
1999,54,135,1
2000,59,132,1
2001,52,124,2
2002,66,131,3
2003,59,141,3
2004,50,122,0
2005,62,133,0
2006,44,124,1
2007,59,129,1
2008,48,134,1
2009,34,133,3
2010,41,124,3
2011,64,138,0
2012,53,137,2
2013,48,126,1
2014,41,125,3
2015,61,130,4
2016,27,148,1
2016
2017,40,125,2
2018,37,132,2
2019,54,130,2
2020,35,134,2
2021,45,139,2
2022,53,119,3
2023,40,118,0
2024,29,120,5
2025,42,125,3
2026,38,126,4
2027,44,132,1
2028,27,123,5
2029,56,129,3
2030,56,121,2
2031,31,129,3
2032,64,138,3
2033,59,123,4
2034,46,123,2
2035,31,118,4
2036,35,135,4
2037,50,114,5
2038,56,128,4
2039,36,135,1
2040,41,136,3
2041,70,141,2
2042,31,121,4
2043,50,124,0
2044,40,126,5
2045,33,131,5
2046,60,142,4
